product_id,brand_name,product_code,verification_result,current_scope,official_url,official_composition,official_functions,observed_price_yen,checked_date,change_required,notes
PRD_DOCLASSE_001,DoCLASSE,32660,VERIFIED_OFFICIAL_CURRENT,WOMEN_KNIT,https://www.doclasse.com/item/detail/1_1_32660,"プルオーバー: レーヨン82%・ポリエステル18% / インナー: レーヨン60%・ナイロン23%・ポリエステル14%・ポリウレタン3%","トップス1本取り / インナーにストレッチ糸プレーティング",,2026-08-08,UPDATE_COMPOSITION_AND_STRUCTURE_EVIDENCE,"公式商品番号32660を確認。既存stagingの単一混率 RY65/POLY35 は現行公式のセット別混率と不一致のため、上書きではなくHuman Reviewでセット構成へ修正する。価格は公式表示が時間帯・キャンペーンで変動するため本バッチでは固定しない。"
PRD_DOCLASSE_003,DoCLASSE,32956,VERIFIED_OFFICIAL_CURRENT,WOMEN_KNIT,https://www.doclasse.com/item/detail/1_1_32956,"ポリエステル50%・レーヨン32%・ナイロン15%・ポリウレタン3%","総針編み",,2026-08-08,UPDATE_COMPOSITION_EVIDENCE,"公式商品番号32956を確認。既存stagingのPOLY50/RY32/NY15/PU3と一致。価格は変動するため固定しない。"
PRD_DOCLASSE_004,DoCLASSE,32668,VERIFIED_OFFICIAL_CURRENT_CATEGORY,WOMEN_KNIT,https://www.doclasse.com/item/detail/1_1_32668/010,,"公式レディース セーター・ニット/UVカテゴリで現行掲載。洗濯機可表示あり",,2026-08-08,KEEP_COMPOSITION_PENDING,"公式カテゴリから商品名・商品URL・現行掲載を確認したが、個別詳細ページ本文は取得できず混率は未確認のまま維持。既存RY63/NY37を今回の確認だけで確定しない。価格は変動するため固定しない。"
PRD_DOCLASSE_002,DoCLASSE,33048,VERIFIED_OFFICIAL_CURRENT_CATEGORY,WOMEN_KNIT,https://www.doclasse.com/item/detail/1_1_33048/010,,,,2026-08-08,KEEP_COMPOSITION_PENDING,"公式レディース セーター・ニット/Vネックカテゴリで現行掲載と商品URLを確認したが、個別詳細ページ本文は取得できず混率は未確認のまま維持。既存RY65/NY35を今回の確認だけで確定しない。価格は変動するため固定しない。"
PRD_TE_CHICHI_001,Te chichi,2601390-22-12,OFFICIAL_URL_RECHECK_PENDING,WOMEN_KNIT,https://www.canshop.jp/ap/item/i/A1CAN000A4QZ?aid4=2601390-22-12,,,,2026-08-08,NO_CORE_UPDATE,"stagingにCAN公式URLあり。2026-08-08の公式ドメイン検索では個別商品/品番を再取得できず、現行公式確認へ格上げしない。"
PRD_TE_CHICHI_002,Te chichi,2601427-22-12,OFFICIAL_URL_RECHECK_PENDING,WOMEN_KNIT,https://www.canshop.jp/ap/item/i/A1CAN000A4R3?aid4=2601427-22-12,,,,2026-08-08,NO_CORE_UPDATE,"stagingにCAN公式URLあり。2026-08-08の公式ドメイン検索では個別商品/品番を再取得できず、現行公式確認へ格上げしない。"
PRD_TE_CHICHI_003,Te chichi,2601415-22-12,OFFICIAL_URL_RECHECK_PENDING,WOMEN_KNIT,https://www.canshop.jp/ap/item/i/A1CAN000A4PN?aid4=2601415-22-12,,,,2026-08-08,NO_CORE_UPDATE,"stagingにCAN公式URLあり。2026-08-08の公式ドメイン検索では個別商品/品番を再取得できず、現行公式確認へ格上げしない。"
PRD_TE_CHICHI_004,Te chichi,2601420-22-12,OFFICIAL_URL_RECHECK_PENDING,WOMEN_KNIT,https://www.canshop.jp/ap/item/i/A1CAN000A4LE?aid4=2601420-22-12,,,,2026-08-08,NO_CORE_UPDATE,"stagingにCAN公式URLあり。2026-08-08の公式ドメイン検索では個別商品/品番を再取得できず、現行公式確認へ格上げしない。"
PRD_TE_CHICHI_005,Te chichi,2601411-22-12,OFFICIAL_URL_RECHECK_PENDING,WOMEN_KNIT,https://www.canshop.jp/ap/item/i/A1CAN000A4LB?aid4=2601411-22-12,,,,2026-08-08,NO_CORE_UPDATE,"stagingにCAN公式URLあり。2026-08-08の公式ドメイン検索では個別商品/品番を再取得できず、現行公式確認へ格上げしない。"
PRD_TE_CHICHI_006,Te chichi,2601404-21-12,OFFICIAL_URL_RECHECK_PENDING,WOMEN_KNIT,https://www.canshop.jp/ap/item/i/A1CAN000A4GY?aid4=2601404-21-12,,,,2026-08-08,HOLD_COMPOSITION_CONFLICT_NO_CORE_UPDATE,"stagingにCAN公式URLあり。2026-08-08の公式ドメイン検索では個別商品/品番を再取得できず、現行公式確認へ格上げしない。既存staging混率とオーナー現物記録に差異があるためHuman Reviewまで保留。"
