product_id,brand_name,product_code,verification_result,current_scope,official_url,official_composition,official_functions,observed_price_yen,checked_date,change_required,notes
PRD_GLOBAL_WORK_007,GLOBAL WORK,149911,OFFICIAL_CURRENT_LISTING_VERIFIED,WOMEN_MATINEE_LINE,https://www.dot-st.com/globalwork/disp/item/149911/,,,2483,2026-08-08,SCOPE_CONFIRMED_PRICE_OBSERVATION_ONLY,公式WOMEN/MATINEE LINE一覧にブークレケーブルニット149911掲載。キャンペーン価格は変動するため観測値扱い
PRD_GLOBAL_WORK_008,GLOBAL WORK,116381,OFFICIAL_PRODUCT_PAGE_RESOLVES,SCOPE_PRODUCT_CHECK_PENDING,https://www.dot-st.com/globalwork/disp/item/116381/,,,,2026-08-08,NO_CORE_UPDATE_YET,公式商品ページと現行検索結果を確認。素材・女性区分は動的表示のため次工程
PRD_GLOBAL_WORK_002,GLOBAL WORK,608246,OFFICIAL_PRODUCT_PAGE_RESOLVES,SCOPE_PRODUCT_CHECK_PENDING,https://www.dot-st.com/globalwork/disp/item/608246/,,,,2026-08-08,NO_CORE_UPDATE_YET,公式商品ページと現行検索結果を確認。素材・女性区分は次工程
PRD_GLOBAL_WORK_001,GLOBAL WORK,291012,OFFICIAL_PRODUCT_PAGE_RESOLVES,SCOPE_PRODUCT_CHECK_PENDING,https://www.dot-st.com/globalwork/disp/item/291012/,,,,2026-08-08,NO_CORE_UPDATE_YET,公式商品ページを確認。素材・女性区分は動的表示のため次工程
PRD_GLOBAL_WORK_019,GLOBAL WORK,147161,OFFICIAL_PRODUCT_PAGE_RESOLVES,SCOPE_PRODUCT_CHECK_PENDING,https://www.dot-st.com/globalwork/disp/item/147161/,,,,2026-08-08,NO_CORE_UPDATE_YET,公式商品ページと現行ニット検索結果を確認。価格はキャンペーンで変動するため固定しない
PRD_GLOBAL_WORK_006,GLOBAL WORK,147158,OFFICIAL_PRODUCT_PAGE_RESOLVES,SCOPE_PRODUCT_CHECK_PENDING,https://www.dot-st.com/globalwork/disp/item/147158/,,,,2026-08-08,NO_CORE_UPDATE_YET,公式商品ページと現行ニット検索結果を確認。価格はキャンペーンで変動するため固定しない
PRD_GLOBAL_WORK_020,GLOBAL WORK,581161,OFFICIAL_PRODUCT_PAGE_RESOLVES,SCOPE_PRODUCT_CHECK_PENDING,https://www.dot-st.com/globalwork/disp/item/581161/,,,,2026-08-08,NO_CORE_UPDATE_YET,公式商品ページを確認。素材・女性区分は動的表示のため次工程
PRD_GLOBAL_WORK_004,GLOBAL WORK,581134,OFFICIAL_PRODUCT_PAGE_RESOLVES,SCOPE_PRODUCT_CHECK_PENDING,https://www.dot-st.com/globalwork/disp/item/581134/,,,,2026-08-08,NO_CORE_UPDATE_YET,公式商品ページを確認。素材・女性区分は動的表示のため次工程
PRD_DOCLASSE_005,DoCLASSE,32692,VERIFIED_OFFICIAL_CURRENT,WOMEN_KNIT,https://www.doclasse.com/item/detail/1_1_32692,レーヨン53%・ポリエステル32%・ナイロン15%,UVカット,3839,2026-08-08,CORE_MATCH_CURRENT_PRICE_OBSERVATION_ONLY,公式レディース/セーター・ニット。既存混率と一致。現在のセール税込価格は3839円
PRD_DOCLASSE_009,DoCLASSE,32669,VERIFIED_OFFICIAL_CURRENT,WOMEN_KNIT,https://www.doclasse.com/item/detail/1_1_32669,レーヨン63%・ナイロン37%,95%以上UVカット・接触冷感・洗濯機OK・遮熱・抗菌防臭,3839,2026-08-08,UPDATE_FUNCTION_EVIDENCE_PRICE_OBSERVATION_ONLY,既存混率は一致。既存機能欄より公式現行機能が多いため機能根拠を更新対象にする
