canonical_brand_id,canonical_name,official_scope,current_women_scope,official_brand_url,official_knit_url,verification_status,checked_date,notes
BR-00017,coen,brand_and_current_products,MIXED,https://www.coen.co.jp/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,coen公式でWOMEN/MENと現行商品を確認
BR-00021,LEPSIM,brand,YES,https://www.adastria.co.jp/brands/lepsim/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,Adastria公式で現行ブランド・30代以降女性向けを確認
BR-00022,LAKOLE,brand,MIXED,https://www.adastria.co.jp/brands/lakole/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,Adastria公式で現行ブランド・エイジレス/ジェンダーレスを確認
BR-00023,JEANASIS,current_brand_listing,SCOPE_ITEM_CHECK_PENDING,https://www.adastria.co.jp/english/brands/,,VERIFIED_OFFICIAL_CURRENT_SCOPE_PENDING,2026-08-08,Adastria現行ブランド一覧で確認。女性向けニットの商品単位確認は次工程
BR-00024,BAYFLOW,brand,MIXED,https://www.adastria.co.jp/brands/bayflow/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,Adastria公式で男女・キッズを含む現行ブランドとして確認
BR-00025,HARE,current_brand_listing,SCOPE_ITEM_CHECK_PENDING,https://www.adastria.co.jp/english/brands/,,VERIFIED_OFFICIAL_CURRENT_SCOPE_PENDING,2026-08-08,Adastria現行ブランド一覧で確認。女性向けニットの商品単位確認は次工程
BR-00026,RAGEBLUE,brand,MIXED,https://www.adastria.co.jp/brands/rageblue/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,Adastria公式で20代男女向け現行ブランドとして確認
BR-00027,Heather,current_brand_listing,SCOPE_ITEM_CHECK_PENDING,https://www.adastria.co.jp/english/brands/,,VERIFIED_OFFICIAL_CURRENT_SCOPE_PENDING,2026-08-08,Adastria現行ブランド一覧で確認。女性向けニットの商品単位確認は次工程
BR-00028,PAGEBOY,current_brand_listing,SCOPE_ITEM_CHECK_PENDING,https://www.adastria.co.jp/english/brands/,,VERIFIED_OFFICIAL_CURRENT_SCOPE_PENDING,2026-08-08,Adastria現行ブランド一覧で確認。女性向けニットの商品単位確認は次工程
BR-00029,repipi armario,brand,GIRLS_TEEN,https://www.adastria.co.jp/brands/repipi_armario/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,Adastria公式でティーン/ガールズブランドとして確認
BR-00030,A part by,current_brand_listing,SCOPE_ITEM_CHECK_PENDING,https://www.adastria.co.jp/english/brands/,,VERIFIED_OFFICIAL_CURRENT_SCOPE_PENDING,2026-08-08,Adastria現行ブランド一覧・2026公式ニュースで確認。商品単位確認は次工程
BR-00031,Elura,brand,YES,https://www.adastria.co.jp/brands/elura/,,VERIFIED_OFFICIAL_CURRENT,2026-08-08,Adastria公式で40〜50代女性向け現行ブランドとして確認
BR-00032,mysty woman,current_brand_listing,SCOPE_ITEM_CHECK_PENDING,https://www.adastria.co.jp/english/brands/,,VERIFIED_OFFICIAL_CURRENT_SCOPE_PENDING,2026-08-08,Adastria現行ブランド一覧・2026公式ニュースで確認。商品単位確認は次工程
BR-00033,Andemiu,current_brand_listing,SCOPE_ITEM_CHECK_PENDING,https://www.adastria.co.jp/english/brands/,,VERIFIED_OFFICIAL_CURRENT_SCOPE_PENDING,2026-08-08,Adastria現行ブランド一覧で確認。女性向けニットの商品単位確認は次工程
BR-00034,ALAND,current_brand_listing,SCOPE_ITEM_CHECK_PENDING,https://www.adastria.co.jp/english/brands/,,VERIFIED_OFFICIAL_CURRENT_SCOPE_PENDING,2026-08-08,Adastria現行ブランド一覧・2026公式ニュースで確認。商品単位確認は次工程
