staging_product_id,staging_product_name,official_match_status,official_product_name,official_code,official_url,official_composition,official_functions,change_required,checked_date,notes
PRD_DOCLASSE_0090,UVカット・アンサンブルニット,EXACT_OFFICIAL_MATCH,UVカット・アンサンブルニット,32640,https://www.doclasse.com/item/detail/1_1_32640/030,"カーディガン: ポリエステル59%・レーヨン41% / プルオーバー: ポリエステル52%・レーヨン36%・ナイロン12%","紫外線90%以上カット; 洗濯機可",ADD_CODE_URL_SET_COMPOSITION_FUNCTION,2026-08-08,"セット別混率を分離保持。単一混率へ潰さない。"
PRD_DOCLASSE_0106,UVクールニット・Vネックトップス,EXACT_OFFICIAL_MATCH,UVクールニット・Vネックトップス,32667,https://www.doclasse.com/item/detail/1_1_32667/680,,,ADD_CODE_URL_KEEP_DETAIL_PENDING,2026-08-08,"公式個別商品と品番を確認。今回の取得では素材詳細を確定できないため空欄維持。"
PRD_DOCLASSE_0108,エンブロイダリーニット・カーデジャケット,OFFICIAL_CURRENT_LISTING_CODE_PENDING,エンブロイダリーニット・カーデジャケット,,https://www.doclasse.com/item?brand_id=1&category_id=41,,,KEEP_CODE_COMPOSITION_PENDING,2026-08-08,"DoCLASSE公式カーディガン/ジャケット一覧に現行掲載を確認。個別商品コード・URLは未確定のため推定しない。"
PRD_DOCLASSE_0080,コットンブークレ・ボックスプルオーバー,EXACT_OFFICIAL_MATCH,コットンブークレ・ボックスプルオーバー,32673,https://www.doclasse.com/item/detail/1_1_32673/400,,,ADD_CODE_URL_KEEP_DETAIL_PENDING,2026-08-08,"公式商品名と品番を照合。素材詳細は未取得のため空欄維持。"
PRD_DOCLASSE_0084,スパンコールドライニット・プルオーバー,EXACT_OFFICIAL_MATCH,スパンコールドライニット・プルオーバー,32906,https://www.doclasse.com/item/detail/1_1_32906/210,,,ADD_CODE_URL_KEEP_DETAIL_PENDING,2026-08-08,"公式商品名と品番を照合。素材詳細は未取得のため空欄維持。"
PRD_DOCLASSE_0103,スパークリングニット・フレンチトップス,EXACT_OFFICIAL_MATCH,スパークリングニット・フレンチトップス,32689,https://www.doclasse.com/item/detail/1_1_32689/030,,,ADD_CODE_URL_KEEP_DETAIL_PENDING,2026-08-08,"32895スパークリングニット・クルートップス等の別型から混率を横展開しない。"
PRD_DOCLASSE_0110,スパークリングニット・ポロシャツ,EXACT_OFFICIAL_MATCH,スパークリングニット・ポロシャツ,32896,https://www.doclasse.com/item/detail/1_1_32896/030,,,ADD_CODE_URL_KEEP_DETAIL_PENDING,2026-08-08,"公式個別商品と品番を確認。素材詳細は未確定。"
PRD_DOCLASSE_0115,ハイネック＆ベスト・レイヤードセット,EXACT_OFFICIAL_MATCH,ハイネック＆ベスト・レイヤードセット,32354,https://www.doclasse.com/item/detail/1_1_32354/011,,,ADD_CODE_URL_KEEP_SET_DETAIL_PENDING,2026-08-08,"セット商品。部位別素材を取得するまで単一混率を付与しない。"
PRD_DOCLASSE_0112,パールビジュー・プルオーバーニット,EXACT_OFFICIAL_MATCH,パールビジュー・プルオーバーニット,32960,https://www.doclasse.com/item/detail/1_1_32960/300,,,ADD_CODE_URL_KEEP_DETAIL_PENDING,2026-08-08,"公式商品名と品番を照合。素材詳細は未取得。"
PRD_DOCLASSE_0094,ポロ衿・配色プルオーバーニット,EXACT_OFFICIAL_MATCH,ポロ衿・配色プルオーバーニット,32861,https://www.doclasse.com/item/detail/1_1_32861/490,,,NORMALIZE_CODE_ADD_URL_KEEP_DETAIL_PENDING,2026-08-08,"stagingの商品コード文字列『商品コード：32861』を数値品番32861へ正規化候補。"
PRD_DOCLASSE_0089,総針ニット・インナークルータンク,EXACT_OFFICIAL_MATCH,総針ニット・インナークルータンク,32957,https://www.doclasse.com/item/detail/1_1_32957/011,,,ADD_CODE_URL_KEEP_DETAIL_PENDING,2026-08-08,"公式個別商品と品番を確認。総針の名称以外の構造・混率を推定しない。"
PRD_DOCLASSE_0113,総針メッシュニット・ノースリポロ,EXACT_OFFICIAL_MATCH,総針メッシュニット・ノースリポロ,32676,https://www.doclasse.com/item/detail/1_1_32676/090,,,ADD_CODE_URL_KEEP_DETAIL_PENDING,2026-08-08,"公式商品名と品番を照合。素材詳細は未取得。"
PRD_DOCLASSE_0114,総針編み・バックマントプルオーバー,EXACT_OFFICIAL_MATCH,総針編み・バックマントプルオーバー,32682,https://www.doclasse.com/item/detail/1_1_32682/090,,,ADD_CODE_URL_KEEP_DETAIL_PENDING,2026-08-08,"公式商品名と品番を照合。素材詳細は未取得。"
PRD_DOCLASSE_0087,総針編み・裾フレアノースリーブニット,EXACT_OFFICIAL_MATCH,総針編み・裾フレアノースリーブニット,32693,https://www.doclasse.com/item/detail/1_1_32693/410,,,ADD_CODE_URL_KEEP_DETAIL_PENDING,2026-08-08,"公式商品名と品番を照合。素材詳細は未取得。"
