product_id,brand_name,product_name,research_scope,product_code,action
PRD_GLOBAL_WORK_018,GLOBAL WORK,my colorニットプルオーバー/一部店舗限定/キッズ/147499,OUT_OF_SCOPE_KIDS,147499,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
PRD_GLOBAL_WORK_014,GLOBAL WORK,ゆったりニットSETUP/AND YUA ANY/599711,OUT_OF_SCOPE_JUNIOR_LINE,599711,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
PRD_GLOBAL_WORK_015,GLOBAL WORK,デザインシャギーニット/AND YUA ANY/599709,OUT_OF_SCOPE_JUNIOR_LINE,599709,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
PRD_GLOBAL_WORK_005,GLOBAL WORK,トクトク2SETメッシュニットT/キッズ/575585,OUT_OF_SCOPE_KIDS,575585,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
PRD_GLOBAL_WORK_016,GLOBAL WORK,フワフワリボンニットプルオーバー/AND YUA ANY/599704,OUT_OF_SCOPE_JUNIOR_LINE,599704,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
PRD_GLOBAL_WORK_012,GLOBAL WORK,ポンポンニットワッチ/キッズ/606708,OUT_OF_SCOPE_KIDS,606708,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
PRD_GLOBAL_WORK_010,GLOBAL WORK,メルティポロセーター/AND YUA ANY/WEB限定/611229,OUT_OF_SCOPE_JUNIOR_LINE,611229,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
PRD_GLOBAL_WORK_009,GLOBAL WORK,リッチライトハーフZIPニット/キッズ/116985/アウトレット価格,OUT_OF_SCOPE_KIDS,116985,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
PRD_GLOBAL_WORK_011,GLOBAL WORK,洗えるシャギーチェックニット/キッズ/608307,OUT_OF_SCOPE_KIDS,608307,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
PRD_GLOBAL_WORK_003,GLOBAL WORK,洗えるシャギーニット/キッズ/606703,OUT_OF_SCOPE_KIDS,606703,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
PRD_GLOBAL_WORK_013,GLOBAL WORK,洗えるニットワッチ/キッズ/599737,OUT_OF_SCOPE_KIDS,599737,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
PRD_GLOBAL_WORK_017,GLOBAL WORK,洗えるポロ襟ニットプルオーバー/キッズ/234562,OUT_OF_SCOPE_KIDS,234562,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
PRD_GU_360832,GU,ファインゲージニットポロシャツ(半袖)MN,OUT_OF_SCOPE_MENS,360832,RETAIN_HISTORY_EXCLUDE_FROM_WOMEN_RESEARCH
